province,year,category,count
Western Cape,2018,murder,3178
 Western Cape ,2018,sexual offences,883
Western Cape,2018,robbery with aggravating circumstances,665
Western Cape,2018,assault with intent to cause grievous bodily harm,2055
 Western Cape ,2018,Burglary at Residential Premises,635
Western Cape,2018,Theft of Motor Vehicle,1137
Western Cape,2018,Drug-Related Crime,5030
Western Cape,2018,Common Robbery,660
Western Cape,2019,Murder,4187
WESTERN CAPE,2019,Sexual Offences,6560
Western Cape,2019,Robbery with Aggravating Circumstances,3690
Western Cape,2019,assault with intent to cause grievous bodily harm,2723
Western Cape,2019,Burglary at Residential Premises,4969
Western Cape,2019,theft of motor vehicle,5164
Western Cape,2019,drug-related crime,2412
Western Cape,2019,Common Robbery,5745
Western Cape,2020,Murder,5690
Western Cape,2020,Sexual Offences,3857
Western Cape,2020,Robbery with Aggravating Circumstances,3997
Western Cape,2020,Assault with Intent to Cause Grievous Bodily Harm,2867
Western Cape,2020,Burglary at Residential Premises,4314
Western Cape,2020,Theft of Motor Vehicle,793
Western Cape,2020,Drug-Related Crime,4771
Western Cape,2020,Common Robbery,5562
Western Cape,2021,Murder,5941
Western Cape,2021,Sexual Offences,6797
Western Cape,2021,Robbery with Aggravating Circumstances,5653
western cape,2021,Assault with Intent to Cause Grievous Bodily Harm,1089
 Western Cape ,2021,Burglary at Residential Premises,3525
Western Cape,2021,Theft of Motor Vehicle,2745
Western Cape,2021,Drug-Related Crime,5190
Western Cape,2021,Common Robbery,1156
Western Cape,2022,Murder,4202
Western Cape,2022,Sexual Offences,5790
Western Cape,2022,Robbery with Aggravating Circumstances,1061
Western Cape,2022,Assault with Intent to Cause Grievous Bodily Harm,2233
Western Cape,2022,Burglary at Residential Premises,2137
Western Cape,2022,Theft of Motor Vehicle,4906
Western Cape,2022,Drug-Related Crime,4175
Western Cape,2022,Common Robbery,3835
Western Cape,2023,Murder,1926
Western Cape,2023,Sexual Offences,188
Western Cape,2023,Robbery with Aggravating Circumstances,5665
Western Cape,2023,assault with intent to cause grievous bodily harm,1817
Western Cape,2023,burglary at residential premises,3857
Western Cape,2023,Theft of Motor Vehicle,1174
Western Cape,2023,Drug-Related Crime,6515
western cape,2023,Common Robbery,5417
Western Cape,2024,Murder,5007
Western Cape,2024,Sexual Offences,2095
WESTERN CAPE,2024,Robbery with Aggravating Circumstances,4650
Western Cape,2024,Assault with Intent to Cause Grievous Bodily Harm,5048
Western Cape,2024,Burglary at Residential Premises,5253
Western Cape,2024,Theft of Motor Vehicle,1465
Western Cape,2024,Drug-Related Crime,3509
Western Cape,2024,common robbery,4848
Gauteng,2018,Murder,3925
Gauteng,2018,Sexual Offences,5900
Gauteng,2018,Robbery with Aggravating Circumstances,4355
Gauteng,2018,Assault with Intent to Cause Grievous Bodily Harm,2564
Gauteng,2018,burglary at residential premises,3158
Gauteng,2018,Theft of Motor Vehicle,684
gauteng,2018,Drug-Related Crime,5681
Gauteng,2018,Common Robbery,892
Gauteng,2019,Murder,1610
Gauteng,2019,sexual offences,2990
